;2030;2040;2050
Crude_oil;53.0904585817569;51.9682803678651;49.8121546876476
Liquid_fuels;0.202778088732191;0.083714791128787;0.0576815487336246
Gas_fuels;44.6493506493506;31.1214953271028;24.863309352518
Solid_fuels;1.12489253920715;1.11324844380438;1.09247778784469
Elec_heating;0;0;0
Steel_Iron;0;0;0
NonFerrousMetals;0;0;0
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0;0;0
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;0;0;0
NavalTransp;0;0;0
AirTransp;0;0;0
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;0;0;0
Compo;0;0;0
ktoe;0;0;0
