;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;19246.255143775;12681.6506186168;9090.47852302083
Gas_fuels;7850.02899485628;6269.63563388805;5193.78099848714
Solid_fuels;39.862250252324;44.0662741035857;43.6610669853918
Elec_heating;18417.3170604092;21955.0639134266;24504.8741028708
Steel_Iron;0;0;0
NonFerrousMetals;0;0;0
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0;0;0
Auto_indus;64437.6263289008;72235.7926954649;71904.1475419746
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;34026;37782;41539
NavalTransp;0;0;0
AirTransp;8756;10041;11010
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;228915.949664424;240762.006718073;246357.145761688
Compo;0;0;0
