;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0.1;0.1;0.1
Solid_fuels;0;0;0
Elec_heating;0.118237025254417;0.114193829431886;0.107577162898465
Steel_Iron;0.05344;0.05313;0.05321
NonFerrousMetals;0.04636;0.04521;0.04414
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0.07164;0.07191;0.07329
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0.04313;0.04472;0.04662
OthManuf;0;0;0
LandTransp;0.0918956050821258;0.0941055468113459;0.0903373032838894
NavalTransp;0.10134;0.1043;0.10741
AirTransp;0.11742;0.11915;0.12233
AgriForest_Fish;0.17737;0.18206;0.18518
Construction;0;0;0
Property_business;0.248103708669298;0.231278764640334;0.218514154324562
Compo;0.10693128040241;0.0963207659274442;0.0948647200105126
