;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agri_Forestry;Fishing;Food_industry;Composite;C;X
Crude_oil;0;0;0;0;0;0;4.820369767;0.194282304;1.88422281;8.700705497;3.313085905;0.997065198;0.24090816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.170244807
Natural_gas;0.023029723;0;0;0;0.0033774;0.000914177;0.501024989;0.052256544;0.159594404;0.736953134;0.280619662;0.136966677;0.108826745;9.844933016;5.898752691;1.869022502;0.507036303;0.718308375;2.880933955;0.092908312;1.886653088;2.04789272;0.139993442;1.084688767;0.205893034;0.492561855;0.002068809;5.567713568;24.83143877;33.82068508;6.005851394
Coking_coal;0;0;0;0;10.02426686;2.713316055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.326679068
Bituminous_coal;0;0;0;0;0;0;0;0;0;0;0;0;0;19.30734162;0.043019951;6.297567745;0.003121129;1.195277778;0.408982415;0;1.245330384;0.124845151;0;0;0;0;0;1.045829146;0.545946533;1.622986966;0.048659792
Coke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.10528697;0;0;0.315891656;0;0.06556326;0;0;0.023840375;0;0;0;0.094095477;0.138354866;0;0.366558024
Other_coal;0;0;0;0;1.940514741;0.525248367;0;0;0;0;0;0;0;3.54798673;0;2.619304317;0;0;0;0;0;0;0;0;0;0;0;0;0.091018426;0.305818467;0.006242776
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002384119;0.002384119;0.003968136;0.007936272;0.005293465;0.135305888;0.003955447;0.004247652;0.008905588;0.623097489;0.06055317;0.00781009;0.02221764;0.672845679;20.66620107;17.60140798
LPG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016677217;0.025015826;0.023813145;0.042898253;0;2.093038799;0.038915193;0.036134813;0.041693042;0.020535134;0.739373486;0;0.234740369;1.708198418;3.520671521;2.826851526
Jetfuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.455035294;0;0;0;0.00641776;0;14.90414827
Fuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073909788;0.073909788;0.123015723;0.246031445;0.164102086;4.194602208;0.122622344;0.131680982;0.276081091;23.13158256;7.090520382;0.770668906;0.688766485;20.85881119;47.06116257;8.27452315
Fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38662239;0.004182472;0.038589003;0.038589003;0.128970759;0.063712274;0.085679258;2.190041666;0.021076214;0.255925461;0.012043551;4.780859328;0.980104909;0.126412989;0.111402848;10.8905835;18.52910335;0
Heavy_fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;2.660003615;0.001986787;0;0.04268065;0.106354115;0.992636323;0;0.967393319;0.149376691;0.039121758;0.00355517;2.335401098;0.142262629;0;0.791268844;0.364626646;0.611734887;23.83222676
Other_fuel_prod;0;0;0;0;0;0;0;0;0;0;0;0;0;0.301594088;0.505014478;0.032655625;0.436365068;1.634920473;0.047197326;0;7.66460207;0;0;0;0;0;0;0.009208543;0.668800884;0.851846738;8.025434953
Electricty;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TranspEquipment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport_serv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_Forestry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MtCO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
