;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agri_Forestry;Fishing;Food_industry;Composite;C;X
Crude_oil;0;0;0;0;0;0;3.319856002;0.133804937;1.297690573;5.99229743;2.281768549;0.686692732;0.165916815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural_gas;0.015860892;0;0;0;0.002326063;0.000629606;0.34506291;0.035989812;0.109914896;0.507549919;0.193266682;0.094330864;0.0749505;6.780342908;4.062553388;0.990950047;0.268829106;0.380844916;1.527462422;0.049259704;1.00029773;1.085786493;0.074224097;0.575098686;0.109163861;0.417985299;0.00175558;2.951984803;14.30248344;19.48013535;0
Coking_coal;0;0;0;0;6.903852632;1.868698674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bituminous_coal;0;0;0;0;0;0;0;0;0;0;0;0;0;13.29723591;0.029628441;3.338951268;0.001654813;0.633732643;0.216841233;0;0.660270383;0.066192519;0;0;0;0;0;0.554495433;0.314455852;0.934812695;0
Coke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.41818634;0;0;0.167484795;0;0.034761441;0;0;0.012640094;0;0;0;0.049889136;0.079690033;0;0
Other_coal;0;0;0;0;1.336459612;0.361745888;0;0;0;0;0;0;0;2.443548029;0;1.388747184;0;0;0;0;0;0;0;0;0;0;0;0;0.052425054;0.176146199;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001565622;0.001565622;0.002605827;0.005211654;0.003476154;0.088853736;0.002597494;0.002789382;0.005848192;0.409180564;0.051385089;0.0066276;0.014590055;0.441849597;13.57124361;0
LPG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010951726;0.01642759;0.015637804;0.028170762;0;1.374473195;0.025555135;0.023729293;0.027379315;0.013485173;0.627428301;0;0.154151153;1.121753184;2.31198229;0
Jetfuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.209007009;0;0;0;0.004214465;0;0
Fuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.048535661;0.048535661;0.080782933;0.161565866;0.10776385;2.754544399;0.080524606;0.086473304;0.181299104;15.19022973;6.01697686;0.653985423;0.452304597;13.69772834;30.90449471;0
Fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0.266272241;0.002880527;0.020459772;0.020459772;0.068379904;0.033780054;0.045426882;1.161153432;0.011174545;0.135690901;0.006385454;2.534797078;0.831711671;0.107273372;0.059065451;6.27278957;10.67244618;0
Heavy_fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;1.831981652;0.001368328;0;0.022629151;0.056388628;0.52629276;0;0.512908996;0.079199067;0.020742237;0.00188494;1.23822256;0.12072329;0;0.419528335;0.210018703;0.352348818;0
Other_fuel_prod;0;0;0;0;0;0;0;0;0;0;0;0;0;0.207712062;0.347810526;0.017313913;0.231359432;0.866829863;0.025023879;0;4.06374871;0;0;0;0;0;0;0.004882341;0.385217854;0.490649131;0
Electricty;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
