;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;Work_constr;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X
Crude_oil;0.257718686;0.823672118;0.257718686;0.257718686;0.985616162;0.725941229;0.985616162;0.985616162;0.985616162;0.985616162;0.985616162;0.985616162;0.985616162;0.823672118;0.823672118;0.725941229;0.725941229;0.238528451;0.238528451;0.239016769;0.239016769;0.614923595;0.266534257;0.257718686;0.233560936;0.208250294;0.222399413;0.222399413;0.183191105;0.208564286;0.20102665;0.199795509;0.223722884;0.208877989;0.272761817;0.013904159;0;0;0.430677328
Natural_gas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0.082906669;0;0;0
Coking_coal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.986229379;1;1;1;1;1;1;0.074854565;0;0;1
Bituminous_coal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.841679361;0;0;1
Coke;0.269531322;0.216136288;0.269531322;0.269531322;0.284230623;0.305022564;0.284230623;0.284230623;0.284230623;0.284230623;0.284230623;0.284230623;0.284230623;0.216136288;0.216136288;0.305022564;0.305022564;0.265037094;0.265037094;0.268017217;0.268017217;0.279173868;0.264779424;0.269531322;0.285340035;0.231699915;0.245046324;0.245046324;0.208187586;0.234178125;0.255529049;0.22678945;0.25413677;0.243324807;0.235880486;0.203375964;0;0;0
Other_coal;0.125900812;0.069608664;0.125900812;0.125900812;0.106626505;0.101349171;0.106626505;0.106626505;0.106626505;0.106626505;0.106626505;0.106626505;0.106626505;0.069608664;0.069608664;0.101349171;0.101349171;0.084895194;0.084895194;0.080203795;0.080203795;0.101025076;0.00556195;0.125900812;0.054773675;0.071495264;0.079187735;0.079187735;0.066240488;0.077084032;0.062826926;0;0.112172359;0.100602713;0.083322673;0.074119021;0;0.048655005;0.024355794
Gasoline;0.122607192;0.098318307;0.122607192;0.122607192;0.129293761;0.138751815;0.129293761;0.129293761;0.129293761;0.129293761;0.129293761;0.129293761;0.129293761;0.098318307;0.098318307;0.138751815;0.138751815;0.120562811;0.120562811;0.12191844;0.12191844;0.126993493;0.120445599;0.122607192;0.129798422;0.105398051;0.111469203;0.111469203;0.09470252;0.106525364;0.116237693;0.103164328;0.115604359;0.110686101;0.107299752;0.092513759;0;0;0
LPG;0.536297045;0.430054851;0.536297045;0.536297045;0.565544821;0.606915362;0.565544821;0.565544821;0.565544821;0.565544821;0.565544821;0.565544821;0.565544821;0.430054851;0.430054851;0.606915362;0.606915362;0.527354704;0.527354704;0.53328437;0.53328437;0.555483198;0.526842007;0.536297045;0.567752262;0.461022411;0.487578284;0.487578284;0.414239007;0.465953401;0.508436174;0.451251867;0.505665902;0.484152914;0.469340657;0.404665134;0;0;0
Jetfuel;0.553139555;0.443560804;0.553139555;0.553139555;0.583305863;0.625975654;0.583305863;0.583305863;0.583305863;0.583305863;0.583305863;0.583305863;0.583305863;0.443560804;0.443560804;0.625975654;0.625975654;0.543916378;0.543916378;0.550032267;0.550032267;0.572928253;0.54338758;0.553139555;0.585582629;0.475500907;0.502890772;0.502890772;0.427248262;0.480586756;0.524403708;0.465423517;0.521546435;0.499357828;0.484080389;0.417373719;0;0;0.417373719
Fuel;0.434165015;0.348155509;0.434165015;0.434165015;0.457842865;0.491334829;0.457842865;0.457842865;0.457842865;0.457842865;0.457842865;0.457842865;0.457842865;0.348155509;0.348155509;0.491334829;0.491334829;0.426925647;0.426925647;0.431726072;0.431726072;0.44969737;0.426510588;0.434165015;0.459629923;0.373225629;0.39472422;0.39472422;0.335351624;0.377217565;0.411609948;0.36531578;0.409367245;0.391951175;0.379959754;0.327600992;0;0;0
Fuel_oil;0.337260505;0.270448098;0.337260505;0.337260505;0.35565352;0.381670164;0.35565352;0.35565352;0.35565352;0.35565352;0.35565352;0.35565352;0.35565352;0.270448098;0.270448098;0.381670164;0.381670164;0.331636945;0.331636945;0.335365928;0.335365928;0.349326079;0.331314526;0.337260505;0.357041711;0.289922632;0.306622794;0.306622794;0.260502007;0.293023579;0.319739671;0.283778241;0.317997533;0.304468685;0.295153718;0.254481297;0;0;0
Heavy_fuel_oil;0.530049314;0.425044816;0.530049314;0.530049314;0.55895636;0.599844945;0.55895636;0.55895636;0.55895636;0.55895636;0.55895636;0.55895636;0.55895636;0.425044816;0.425044816;0.599844945;0.599844945;0.521211149;0.521211149;0.527071737;0.527071737;0.549011953;0.520704425;0.530049314;0.561138085;0.455651611;0.481898115;0.481898115;0.409413223;0.460525157;0.502513015;0.445994891;0.499775016;0.47851265;0.463872952;0.399950883;0;0;0.399950883
Other_fuel_prod;0.367619147;0.294792594;0.367619147;0.367619147;0.387667816;0.41602636;0.387667816;0.387667816;0.387667816;0.387667816;0.387667816;0.387667816;0.387667816;0.294792594;0.294792594;0.41602636;0.41602636;0.36148938;0.36148938;0.365554028;0.365554028;0.380770808;0.361137938;0.367619147;0.389180966;0.316020136;0.33422357;0.33422357;0.283951202;0.319400216;0.348521168;0.309322656;0.346622211;0.331875558;0.3217221;0.277388534;0;0;0
Electricity;0.083282889;0.057895691;0.083282889;0.083282889;0.091830757;0.079274849;0.091830757;0.091830757;0.091830757;0.091830757;0.091830757;0.091830757;0.091830757;0.057895691;0.057895691;0.079274849;0.079274849;0.061422637;0.061422637;0.085664201;0.085664201;0.058694313;0.067662342;0.083282889;0.076481434;0.065065203;0.073020629;0.073020629;0;0.077352067;0.061474888;0.06520669;0.065196782;0.073347917;0.056351143;0.000059;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0.672640531;0.371892823;0.672640531;0.672640531;0.569665181;0.541470377;0.569665181;0.569665181;0.569665181;0.569665181;0.569665181;0.569665181;0.569665181;0.371892823;0.371892823;0.541470377;0.541470377;0.453562987;0.453562987;0.428498611;0.428498611;0.539738858;0.0297154;0.672640531;0.292635074;0.381972215;0.423070183;0.423070183;0.353897931;0.411830895;0.335660558;0;0.599294585;0.537482331;0.445161599;0.395989961;0;0.259945332;0.395989961
