;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;-2826320.099
GOS_byAgent;286790705.8;41265986.5;133192832.7;0
NetCompWages_byAgent;0;0;636209643.7;0
InsuranceContrib_byAgent;0;336648340.1;0;0
Production_Tax_byAgent;0;53690811.42;0;0
Energ_Tax_byAgent;0;24766000;0;0
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0;25899000;0;0
VA_Tax_byAgent;0;119294000;0;0
Property_income;-75235000;-36825000;111510000;550000
Unemployment_transfers;0;-32063078.86;32063078.86;0
Pensions;0;-196568829.3;196568829.3;0
Other_social_transfers;0;-97045091.82;97045091.82;0
ClimPolicyCompens;0;0;0;0
Other_Transfers;-17018705.82;-14711137.98;20938523.7;10791320.1
Income_Tax;0;129951000;-129951000;0
Corporate_Tax;-38448000;38448000;0;0
Other_Direct_Tax;0;14652000;-14652000;0
Disposable_Income;156088999.98;407402000.06;1082925000.08;8515000.001
FC_byAgent;0;416026000;918512000;0
GFCF_byAgent;171499000;51591000;97303000;0
Tot_FC_byAgent;171499000;467617000;1015815000;0
NetLending;-15410000.02;-60214999.9399999;67110000.0800002;8515000.001
NetFinancialDebt;1177322000;750844000;-2016255000;88089000
Thousand of euros;0;0;0;0
