;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;Agri_Food_industry;Property_business;OtherSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;43800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43800;990;42810
Natural_gas;0.497689787815573;0;0.158726686682183;779.055928809435;5609.70360599656;1983.3806191995;7933.65588480362;51.3008898194;401.423506173;198.6423899434;111.281836878996;70.7029892284085;34.5716822330085;0;3296.3693351078;231.5467941351;4467.45513969462;6539.08745235245;0;0;0;31708.8344708498;18.217664172597;31690.6168066772
Coal;0;0;2572.15191610088;0;760.219674751532;137.820024560962;2386.5;0;0;0;0;0;0;0;2.21371927049744;0;0;0;0;0;0;5858.90533468387;2209.39913641559;3649.50619826828
AllFuels;0;0;0;0;1500.34850085237;322.514401562323;340.822811892443;110.2115180123;1000.5354246134;56.8736818308;21.7169829772581;17348.102907202;1298.42547317566;1133.47653729163;2797.93231739665;63.8300845264;954.540246220764;20318.7443762801;0;0;0;47268.0752638341;28894.7346708357;18373.3405929984
Electricity;60.3044935871909;2.74791463463111;19.2121462474945;1125.90795553484;0;1574.11467830194;7283.85391968869;25.3466197241;560.3036198295;272.3021851847;152.546931065158;236.879937669909;1343.70372509806;0;2784.9958170239;323.1911068261;19471.5969616093;16152.2953472233;0;0;698.176433323013;52087.4797925718;52087.4797925718;0
HeatGeoSol_Th;0;0;0;0;0;0;607.578033327735;0;77.7572370318;0;0;0;0;0;191.352046127589;44.8514817863;1799.50108089297;1145.44436300186;0;0;0;3866.48424216825;3866.48424216825;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312730.321729651;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81643.774192404;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361153.690348094;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2260;0;0;0;2260;2807.93650265798;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98520.848809159;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561471.9;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275495.5;0;0;0;275495.5;275495.5;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9455.95072826307;0;0;0;9455.95072826307;19893.4808038075;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120634.04449569;0;0;0;120634.04449569;348783.325104221;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2925764.086252;0;0;0;2925764.086252;4223682.987015;0
OtherSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4626117.89700123;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
