Aggregation_type;-;-;-;-;-;EnComp
Row;PrimEnergy;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;FinEnHTr;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;FinEnHRes;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;Comp;Commodities;NonEnerSect;NonHybridCommod;-;Comp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-
Row;SpeMarg_PrimEnergy;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_FinEnHTr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_FinEnHRes;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Comp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_H1;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H2;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H3;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H4;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H5;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H6;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-
Column;PrimEnergy;Sectors;NonSupplierSect;-;-;-
Column;FinEnHTr;Sectors;NonSupplierSect;-;-;-
Column;FinEnHRes;Sectors;-;-;-;-
Column;Comp;Sectors;-;-;-;-
Column;H1;FC;C;-;-;-
Column;H2;FC;C;-;-;-
Column;H3;FC;C;-;-;-
Column;H4;FC;C;-;-;-
Column;H5;FC;C;-;-;-
Column;H6;FC;C;-;-;-
Column;G;FC;-;-;-;-
Column;I;FC;-;-;-;-
Column;X;FC;-;-;-;-
