Households_Gourps;H1;H2;H3;H4;H5;H6
GOS_byAgent;0.249047795272384;0.171513189397012;0.11007322546078;0.295476440186977;0.136811517353136;0.0370778323297094
NetCompWages_byAgent;0.243885002966397;0.158674693408531;0.122131658949723;0.28017054561322;0.148603352310213;0.0465347467519159
Property_income;0.273322338836953;0.160631540995559;0.118247969826391;0.273587311113557;0.129103837775502;0.0451070014520381
Unemployment_transfers;0.227963470200234;0.166729641566048;0.153204855822345;0.291952232776147;0.121634002523354;0.0385157971118709
Pensions;0.258196795558119;0.190031509862061;0.131498953531737;0.286552743708574;0.107830405499659;0.0258895918398509
Other_social_transfers;0.249786401383691;0.168293189901737;0.145714646583764;0.318211765266526;0.100924995091663;0.0170690017726191
ClimPolicyCompens;0;0;0;0;0;0
Other_Transfers;0.273322338836953;0.160631540995559;0.118247969826391;0.273587311113557;0.129103837775502;0.0451070014520381
Income_Tax;0.203932196254186;0.134699028499883;0.11799830572221;0.273866783559119;0.180654760184159;0.0888489257804427
Other_Direct_Tax;0.214355711727163;0.172800552444808;0.133360569373005;0.310472188577782;0.14165511902214;0.0273558588551022
FC_byAgent;0.243321821301425;0.166419251332485;0.130552898842106;0.291313787714015;0.131272669752169;0.0371195710577987
GFCF_byAgent;0.235301906526995;0.133486908692728;0.12895709775895;0.292307073212152;0.159943817682581;0.0500031961265944
NetFinancialDebt;0.273322338836953;0.160631540995559;0.118247969826391;0.273587311113557;0.129103837775502;0.0451070014520381
