Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;-0.6597531;-0.7031297;180.58095;1.7714773;6.1740233;18.498713;2.0674323;-1.0162632;-1.0643359;-0.7131550;4.3686129;1.287419;0.3194667;-1.0814415;-1.118394
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-1.5188806;Nan;0.7077243;0.0312021;-7.8110808;-1.6801788;-0.6185199;0.7296914;0.6218326
Exports in volume;0;0;0;0;0;Nan;-1.7425196;Nan;Nan;1.3284079;0;Nan;-0.3182940;Nan;1.3695179
Imports in volume;-8.6528347;-5.0236695;-9.4957725;-3.865321;-4.4542884;-52.009683;1.6287729;-37.779487;-39.061932;0.5227880;0.4622115;-1.6801788;0.3564572;-44.485635;-0.3039361
Trade balance ;-8.6584538;-5.4135804;-11.705804;-11.790207;13.968099;-4.7968704;264.22149;5.9893589;4.9840003;-2.4149275;-7.5793244;-1.6801788;-6.7595051;2.0932273;-12.086694
Energy Cost share variation;1.4548053;1.2433835;18.609932;1.5926158;103.17394;6.7493999;39.534824;22.730968;18.58964;15.675083;17.680911;12.784938;26.534181;13.057298;12.47037
 Energy/Labour cost variation;2.9333578;2.674003;239.88933;5.5957659;120.31525;29.192517;45.454808;24.072715;19.827889;17.297786;25.439472;16.67153;29.643681;14.21803;13.58263
Labour;-8.6528347;-5.0236695;-9.4957725;-3.865321;-4.4542884;-4.8878495;-1.9263133;5.9149278;4.9082486;1.7266515;0.4622115;-1.6801788;-0.2785449;1.021769;1.6154565
Unitary Labour Cost variation;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935;-2.0866935
Net nominal wages;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559;0.1926559
Net real wages (Consumer Price Index);-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748;-0.4447748
Purchasing power of wages_Households;1.0020211;0.7369201;0.2788460;0.8037016;0.9463927;0.8467962;0.9902661;1.0121691;1.0126555;1.0058528;0.9269956;0.9886442;0.9993196;1.0128764;1.0117918
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;Labour tax reduction;;;;;;;;;;;;;;
