current_year;2030;2040;2050
Crude_oil;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0
Steel_Iron;1127.9300050299219;1533.3537995421384;1613.6546545696742
NonFerrousMetals;1260.8411698647435;1760.0416812275678;2243.156185678085
Cement;967.6995730657313;1876.4983864713904;2080.994146638361
OthMin;1014.2630528149244;1693.4987816114142;1855.1387490961183
ChemicalPharma;1529.8224150981982;1526.5504968640946;1635.1580751943582
Paper;1327.6137993725197;1035.9891306819761;1579.5181579212012
Auto_indus;0.0;0.0;0.0
OthEquip;0.0;0.0;0.0
Electronics;0.0;0.0;0.0
Food_industry;0.0;0.0;0.0
OthManuf;0.0;0.0;0.0
LandTransp;0.0;0.0;0.0
NavalTransp;0.0;0.0;0.0
AirTransp;0.0;0.0;0.0
AgriForest_Fish;0.0;0.0;0.0
Construction;0.0;0.0;0.0
Property_business;0.0;0.0;0.0
Compo;0.0;0.0;0.0
