Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);0.7877818
Households consumption in GDP;0.1350352
Public consumption in GDP;0.0006486
Investment in GDP;1.2883219
Exports in GDP;-0.3131201
Imports in GDP;0.3231038
Imports/Domestic production ratio;0.0755029
Imports of Non Energy goods in volume;1.8100777
Exports of Non Energy goods in volume;-1.2399003
Total Employment;0.9954612
Unemployment rate (% points);-0.0089884
Net-of-tax wages;0.2270430
Labour Intensity (Laspeyres);0
Labour tax rate (% points);0
Energy Input Price (Laspeyres);29.258979
Energy Intensity (Laspeyres);-2.518894
Energy cost share for non-energetic sector;19.025841
Production Price (Laspeyres);1.03059
Production Price Energy goods (Laspeyres);7.1223056
Production Price Non Energy goods (Laspeyres);0.8981574
Real Households consumption (Laspeyres);0.2479946
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;0.5779156
Public Deficits;-16.770412
Total Emissions;-6.4747315
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
