Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2383.9;1.0157544;2347;1.0078778
Households consumption;1295.3;1295.3;1.0190277;1271.1;1.0024799
Households consumption - Non-energy goods;1200.1;1200.1;1.0071861;1191.6;1.0061878
Households consumption - Energy goods;95.2;95.2;1.1964016;79.5;0.9500401
Government consumption;608.6;608.6;1.0068258;604.4;1.000025
Government consumption - Non-energy goods;608.6;608.6;1.0068258;604.4;1.000025
Government consumption - Energy goods;0;0;-4.342e-10;0;Nan
Investment;543.9;543.9;1.0059919;540.6;1.0587513
Investment - Non-energy goods;543.9;543.9;1.0059919;540.6;1.0587513
Investment - Energy goods;0;0;3.072e-12;0;Nan
Exports;552;552;1.0099233;546.6;0.9868356
Exports - Non-energy goods;536.9;536.9;1.0093992;531.9;0.9864779
Exports - Energy goods;15.1;15.1;1.0289536;14.7;1
Imports;615.8;615.8;1;615.8;1.0123698
Imports - Non-energy goods;574;574;1;574;1.0183628
Imports - Energy goods;41.8;41.8;1;41.8;0.9366202
Net-of-tax wages;-;-;-;for nominal ratio:;1.0022704
Total Employment;-;-;-;Abs ratio:;1.0099546
