Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;0.5635053;0.6378979;178.93937;2.3413031;6.5386129;18.112959;3.2120813;0.6192056;0.6583307;0.7262137;5.9578263;3.0470259;1.6719591;0.2512942;0.6370212
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-0.4639910;Nan;0.6820331;0.9450004;-7.8561141;-1.781269;-0.0165717;1.0878939;0.7528458
Exports in volume;0;0;0;0;0;Nan;-2.6637951;Nan;Nan;-1.3151975;0;Nan;-1.637752;Nan;-0.8058178
Imports in volume;-8.9110311;-5.5599963;-10.367522;-4.1372307;-4.9749171;-52.340136;2.1525602;-37.813782;-39.191908;1.3578977;-0.3394464;-1.781269;2.3664129;-44.447711;1.7421335
Trade balance ;-8.9168295;-6.0446406;-12.580548;-13.071938;14.990874;-5.4524227;363.83026;5.930938;4.7600787;17.571114;-11.347065;-1.781269;-43.39104;2.1640771;36.260221
Energy Cost share variation;0.5456867;0.2180135;19.063141;1.0658465;102.64603;7.4001403;38.189902;21.071281;16.86242;14.392167;16.18562;11.153098;25.161575;11.876985;10.836224
 Energy/Labour cost variation;0.8832188;0.6288314;231.36164;3.197801;115.4072;26.566125;42.30558;21.545002;17.365292;14.961886;22.828883;14.280496;26.965958;11.904055;11.289599
Labour;-8.9110311;-5.5599963;-10.367522;-4.1372307;-4.9749171;-5.5427753;-3.3153796;5.8565479;4.6844885;0.1452719;-0.3394464;-1.781269;-0.9564039;1.0918501;0.6525945
Unitary Labour Cost variation;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430
Net nominal wages;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430;0.2270430
Net real wages (Consumer Price Index);-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556;-1.6773556
Purchasing power of wages_Households;1.0021897;0.7339263;0.2795204;0.8026521;0.9436289;0.8498306;0.9844108;0.9961286;0.9957450;0.9983458;0.9113028;0.9713830;0.9888358;0.9997590;0.9964454
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
