IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-9.2;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;0
Natur;-13.7;0;-15.4;-9.2;-10.2;-10.8;-8.8;-5;-5.1;-5.6;-6.2;-7.1;-6.4;-4.7;-5.4;Natur;-5;0;0;0
Coal ;0;0;-15.4;0;-10.2;-10.8;-8.8;0;-5.1;-5.6;0;0;-6.4;-4.7;-5.4;Coal ;-5;0;0;0
AllFu;0;0;0;0;-10.2;-10.8;-8.8;-5;-5.1;-5.6;-6.2;-7.1;-6.4;-4.7;-5.4;AllFu;-5;0;0;0
Elect;-13.7;-10.7;-15.4;-9.2;0;-10.8;-8.8;-5;-5.1;-5.6;-6.2;-7.1;-6.4;-4.7;-5.4;Elect;-5;0;0;0
HeatG;0;0;0;0;0;0;-8.8;0;-5.1;0;0;0;-6.4;-4.7;-5.4;HeatG;-5;0;0;0
Heavy;0;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;Heavy;-1;-1.2;-1.3;-2.6
Build;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.3;0;Build;0;0;0;0
Work_;-9.2;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;Work_; 0.2;0;-0.1;0
Autom;0;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;Autom; 0.4;0; 0.1;-1.1
Load_;0;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;Load_;-8.2;-8.3;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;-2.2;0;0;0
Agri_;0;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;Agri_;-0.5;-0.7;-0.8;-1.5
Prope;0;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;Prope; 0.6; 0.4; 0.3;0
OthSe;-9.2;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;OthSe; 0.3; 0.1;0;-0.6
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-9.2;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5;0.3;-0.4;;;;;
M;-9.2;-6;-10.9;-4.5;-5.5;-52.6;1.3;-41.3;-42;0.3;-1.2;-2.2;1.6;-44.9;0.5;;;;;
Labour;-9.2;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5;0.3;-0.4;;;;;
Capital_consumption;-9.2;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5;0.3;-0.4;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
