Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2352;1.0144379;2318.5;0.9956593
Households consumption;1288.2;1288.2;1.0180694;1265.4;0.9979493
Households consumption - Non-energy goods;1193.1;1193.1;1.0061389;1185.8;1.0013368
Households consumption - Energy goods;95.1;95.1;1.1959129;79.5;0.9500401
Government consumption;607.8;607.8;1.0055179;604.4;1.0000248
Government consumption - Non-energy goods;607.8;607.8;1.0055179;604.4;1.0000248
Government consumption - Energy goods;0;0;-4.350e-10;0;Nan
Investment;513.1;513.1;1.0047586;510.6;1.0000003
Investment - Non-energy goods;513.1;513.1;1.0047586;510.6;1.0000003
Investment - Energy goods;0;0;1.334e-12;0;Nan
Exports;552.3;552.3;1.008851;547.4;0.9883547
Exports - Non-energy goods;537.2;537.2;1.0083122;532.8;0.9880383
Exports - Energy goods;15.1;15.1;1.0284443;14.7;1
Imports;609.3;609.3;1;609.3;1.0017639
Imports - Non-energy goods;567.7;567.7;1;567.7;1.0071993
Imports - Energy goods;41.6;41.6;1;41.6;0.9330621
Net-of-tax wages;-;-;-;for nominal ratio:;1.0007733
Total Employment;-;-;-;Abs ratio:;0.9953981
