Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;0.4623509;0.5413593;178.90024;2.2881311;6.4397379;18.0348;3.1123061;0.5050353;0.5361234;0.6080311;5.8245517;2.89841;1.5691071;0.1962460;0.5120860
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-0.9932932;Nan;0.2135793;0.4175823;-8.1632838;-2.2094261;-0.5204923;0.5511405;0.2988509
Exports in volume;0;0;0;0;0;Nan;-2.5846775;Nan;Nan;-1.103688;0;Nan;-1.5389803;Nan;-0.6188379
Imports in volume;-9.2111786;-6.0230462;-10.911838;-4.4533195;-5.4637093;-52.633098;1.2593071;-41.270019;-41.998382;0.3320320;-1.2342494;-2.2094261;1.646935;-44.883931;0.4742547
Trade balance ;-9.2171711;-6.54244;-13.13755;-13.834883;15.197567;-6.0336013;253.63725;0.0434210;-0.0749103;8.2187562;-13.004808;-2.2094261;-31.472868;1.3618415;11.758186
Energy Cost share variation;0.5591995;0.2263644;19.073204;1.111273;102.80792;7.4153619;38.266438;21.168816;16.953842;14.461047;16.306371;11.263988;25.238435;11.866281;10.901887
 Energy/Labour cost variation;0.9460766;0.6910870;231.83884;3.3449172;115.70142;26.689542;42.459552;21.686663;17.490007;15.068026;22.985593;14.400411;27.105273;11.999208;11.38367
Labour;-9.2111786;-6.0230462;-10.911838;-4.4533195;-5.4637093;-6.1233985;-3.9993935;-0.0268346;-0.1470118;-0.6745487;-1.2342494;-2.2094261;-1.4542349;0.2980341;-0.3921333
Unitary Labour Cost variation;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277
Net nominal wages;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277;0.0773277
Net real wages (Consumer Price Index);-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338;-1.7293338
Purchasing power of wages_Households;1.0007071;0.7330624;0.2791166;0.8015764;0.9430537;0.8491185;0.9834724;0.9957657;0.9954607;0.9974871;0.9122500;0.9713920;0.9881689;0.9988138;0.9963077
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
