Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.6;0;51.8;29.5;1.2;50.8;0;14.8;70.2;0.8;18.2;178.5;236.6;623.3
HPrice Index (Paasche);-1.236e-13;1.3651953;3.5855022;1.2485064;1.061205;1.1786026;1.0175917;1.350e-11;1.0053368;1.0032944;1.0970383;1.0302465;1.0127553;1.0019618;1.0044821
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.9;0;14.7;70;0.7;17.6;176.3;236.2;620.5
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;30.1;0;0;0;3.3;0;0.2;16.9;557.2
G Price Index (Paasche);1.0000661;1.00242;1.8107574;1.008217;1.0609998;1.1787267;1.0175917;1.0050289;1.0053368;1.0032905;1.0970383;1.0302465;1.0127553;1.0019618;1.0044821
Government consumption Real 1 (G€);0;0;0;0;0;0;29.6;0;0;0;3;0;0.2;16.9;554.7
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;60.4;171.6;26.3;0;0;1.8;9.3;243.4
I Price Index (Paasche);5.706e-16;-5.910e-15;1.439e-12;-9.364e-16;-3.536e-15;-9.510e-14;1.0175917;1.0050289;1.0053368;1.0032788;-2.801e-16;6.877e-16;1.0127553;1.0019618;1.0044821
Investment Real 1 (G€);0;0;0;0;0;0;0.2;60.1;170.7;26.2;0;0;1.8;9.3;242.3
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.2;0;124.3;0;0;46.2;1.1;0;46.4;0;319.1
X Price Index (Paasche);1.0000662;1.0024501;1.8146206;1.0146708;1.0622004;0;1.0176536;0;0;1.0032543;1.0871452;0;1.0127128;0;1.0045573
Exports Real 1 (G€);0;0.7;0;10;3.9;0;122.2;0;0;46.1;1.1;0;45.8;0;317.6
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.1;1.2;15.5;1.6;0;128.1;0;0;53.4;1.9;0.5;44.5;0;339.3
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.1;1.2;15.5;1.6;0;128.1;0;0;53.4;1.9;0.5;44.5;0;339.3
