IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;-51.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.3;-51.3;
Natur;-97.8;0;-94.7;-87.7;-71.6;-79.1;-42;-65.1;-64.8;-75.9;-74.9;-46;-57.2;-73.2;-69.3;-70.6;0;0;-44.1;-67.7;
Coal ;0;0;-5.9;0;-38.7; 1676.7;-32.9;0;-9.6;-38.2;0;0; 90.4;-31.3;-33.8;-93.9;0;0;-41.3;-27.1;
AllFu;0;0;0;0; 37.9; 73.2;-80.6;-34.3;-34.3;-55.6; 106;-47.6;-31.6;-50;-84.3;-18.7;0;0;-56.3;-33.2;
Elect; 111.8;-80.8; 409.7; 436.1;0; 653.9; 22.9;-6.2;-6.2;-35.9;-82.8; 309.4; 53.3;-28.7; 2.4; 4.5;0;0; 46.4;11.5;
HeatG;0;0;0;0;0;0;%i*51045292;0;-23.6;0;0;0;-45.3;-41.9;-50.7; 988.1;0;0;0;28.2;
Heavy;0;-96;-5.6;-21.2; 21.9; 41.8; 5.7; 5.6; 4.8; 2.4;-0.2; 2.5; 3.6; 2.5; 2.6; 6.1; 5.6; 5.5; 1.1;3.3;
Build;0;0;0;0;0;0;0; 8;0;0;0;0;0; 4.8;0;0;0; 8;0;8;
Work_;-58.8;-95.9;-3.5;-19.5; 24.6; 45; 8; 7.9; 7.1; 4.6; 2; 4.8; 5.4; 4.7; 4.9; 6.1;0; 7.9;0;7.1;
Autom;0;-95.9;-3.7;-19.7; 24.3; 44.6; 7.7; 7.6; 6.9; 4.4; 1.8; 4.5; 5.2; 4.5; 4.6; 6.1;0; 7.6; 0.3;4.4;
Load_;0;-94.9; 19.7;-0.1; 54.6; 79.8; 32.7; 32.9; 31.9; 28.8; 25.8; 29.2; 25.4; 28.2; 29.4; 6.1; 5.6;0; 20.8;25.7;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 6.1;0;0;0;6.1;
Agri_;0;-95.9;-3.9;-19.8; 24.1; 44.3; 7.5; 7.5; 6.7; 4.2; 1.6; 4.3; 5.1; 4.3; 4.5; 6.1; 5.6; 7.4; 0.1;4.9;
Prope;0;-95.8;-2.1;-18.3; 26.4; 47; 9.4; 9.4; 8.6; 6; 3.4; 6.2; 6.6; 6.1; 6.3; 6.1; 5.6; 9.4;0;6.2;
OthSe;-58.7;-95.9;-3.3;-19.3; 24.8; 45.2; 8.1; 8.1; 7.3; 4.8; 2.2; 4.9; 5.5; 4.9; 5.1; 6.1; 5.6; 8.1;-0.1;5.1;
Labour_income;-58.4;-96.3;-2.6;-18.7; 11.4; 46.2; 8.9; 8.8; 8; 5.5; 2.9; 5.7; 6.1; 5.6; 5.8;;;;;;
Labour_Tax;-58.4;-96.3;-2.6;-18.7; 11.4; 46.2; 8.9; 8.8; 8; 5.5; 2.9; 5.7; 6.1; 5.6; 5.8;;;;;;
Capital_income;-57.5;-95.9;-0.4;-16.9; 24.7; 49.5; 11.4; 11.3; 10.5; 7.9; 5.2; 8.1; 8.7; 8; 8.2;;;;;;
Production_Tax;-51.5;-96;-4.4;-44.5; 14; 23.3; 4.3; 8; 7.1; 4.3; 13.7; 6; 4.9; 6.2; 4.9;;;;;;
Profit_margin;-51.5;-96;-4.4;-44.5; 14; 23.3; 4.3; 8; 7.1; 4.3; 13.7; 6; 4.9; 6.2; 4.9;;;;;;
M_value;-51.3;-44.8;-39.1;-50.2; 115.5;0; 1.7;0;0; 4.1; 1.8; 4.6; 4.5;0; 5;;;;;;
Trade_margins;-51.3;0;-27.3;-46.3;0;0; 3.3;0;0; 4.2;0;0; 4.9;0; 2.5;;;;;;
Transp_margins;-51.3;-67.6;-27.3;-46.3; 17.3; 23.3; 3.3;0;0; 4.2; 2.2;0; 4.9;0; 4.9;;;;;;
SpeMarg_Crude_oil;0;-98;0;0; 112.2;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;-80.7;0;0;0;0;-95.9;-95.4;0;0;-95.8;0;;;;;;
SpeMarg_Coal;0;-95.1;-5.9;0; 410.5;0;0;0;0;-3.7; 7.4;0;0;-2.1;0;;;;;;
SpeMarg_AllFuels;-51.3;-88.7;0;0; 437;0;0;0;0;-19.7;-10.4;0;0;-18.3;0;;;;;;
SpeMarg_Electricity;0;-73.9;-38.7; 13.7;0;0;0;0;0; 24.3; 38.7;0;0; 26.4;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-80.8; 1676.8; 46.9; 655.2;0;0;0;0; 44.6; 61.3;0;0; 47;0;;;;;;
SpeMarg_Heavy_Industry;0;-46.6;-32.9;-82.8; 23.1;0;0;0;0; 7.7; 19;0;0; 9.4;0;;;;;;
SpeMarg_Buildings_constr;0;-67.1;0;-40.2;-6.1;0;0;0;0; 7.6; 19.2;0;0; 9.4;0;;;;;;
SpeMarg_Work_constr;0;-67.1;-9.6;-40.2;-6.1;-23.7;0;0;0; 6.9; 18.3;0;0; 8.6;0;;;;;;
SpeMarg_Automobile;0;-77.5;-38.2;-59.1;-35.8;0;0;0;0; 4.4; 15.5;0;0; 6;0;;;;;;
SpeMarg_Load_PipeTransp;0;-76.5;0; 88;-82.7;0;0;0;0; 1.8;0;0;0; 3.4;0;;;;;;
SpeMarg_PassTransp;0;-49.5;0;-52.2; 310.1;0;0;0;0; 4.5;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0;-60; 90.4;-39.4; 53.5;-45.4;0;0;0; 5.2; 12.5;0;0; 6.6;0;;;;;;
