Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;17.931505;10.031768;-0.8208672;-31.024326;3.348436;-14.858988;-3.3451999;0.1917031;0.1129350;-0.2214161;11.708778;1.3533028;-0.3653174;1.5282384;0.1312154
Real Households consumption_Households;Nan;-21.381205;-93.930731;-0.8942899;-0.1807171;1175.5117;8.3203189;Nan;5.9349997;6.1908963;-14.594257;4.5645229;6.3823002;4.4582864;5.770635
Exports in volume;46.975264;52.237824;-41.844907;-34.528683;39.731279;Nan;3.2264769;Nan;Nan;0.4358848;0;Nan;0.3787748;Nan;-0.3711749
Imports in volume;-10.587548;-10.568073;-34.732519;-19.550552;55.771393;-100;1.6751812;-46.11537;-46.504796;4.1161754;1.8043619;4.5645229;4.5457342;-47.71202;4.9947399
Trade balance ;-51.298072;-44.824065;-39.036372;-13.394334;-12.160697;Nan;-22.452016;Nan;Nan;38.264492;-12.766589;4.5645229;-82.174522;Nan;134.3761
Energy Cost share variation;262.74034;378.51728;-0.1863665;-8.1353667;-49.055436;-8.5041318;-41.407328;-40.009376;-33.725278;-52.73399;66.796864;-22.930714;-22.268614;-45.097305;-51.587046
 Energy/Labour cost variation;323.52134;421.27311;-1.9923946;-37.267311;-47.874364;-22.875938;-43.896353;-40.477703;-34.295515;-53.29265;84.34769;-22.717394;-23.162692;-44.794175;-52.002565
Labour;-58.78921;-96.343813;-3.4144035;-19.416418;10.464612;45.029913;7.9880562;7.9203792;7.1423209;4.6390127;2.0415347;4.8081261;5.263407;4.712996;4.9272088
Unitary Labour Cost variation;1.0067492;1.0067492;1.0067492;1.0067492;1.0067492;1.0067492;0.9428675;0.9800195;0.9817961;0.9720217;1.0735416;1.0735416;0.794031;0.9707566;0.9980632
Net nominal wages;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187;0.8386187
Net real wages (Consumer Price Index);1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769;1.6567769
Purchasing power of wages_Households;1.8137219;2.6994756;0.9996641;1.2289494;0.9636018;1.1820451;1.0299344;1.0064655;1.0072542;1.0096873;0.8120573;0.9942234;1.0115072;0.9932133;1.0056914
Carbon Taxe rate;0 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
