Aggregation_type;-;-;-;-;-;AGG_EnComp
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;Coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;AllFuels;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;HeatGeoSol_Th;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;Heavy_Industry;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Buildings_constr;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Work_constr;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Automobile;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;Load_PipeTransp;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;PassTransp;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;AgriFood_Indus;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;PropertyBus;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;Comp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_AllFuels;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Electricity;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_HeatGeoSol_Th;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Heavy_Industry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Buildings_constr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Work_constr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Automobile;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Load_PipeTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_PassTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_AgriFood_Indus;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_PropertyBus;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Comp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-
Column;Crude_oil;Sectors;NonSupplierSect;-;-;-
Column;Natural_gas;Sectors;NonSupplierSect;-;-;-
Column;Coal;Sectors;-;-;-;-
Column;AllFuels;Sectors;-;-;-;-
Column;Electricity;Sectors;-;-;-;-
Column;HeatGeoSol_Th;Sectors;-;-;-;-
Column;Heavy_Industry;Sectors;-;-;-;-
Column;Buildings_constr;Sectors;-;-;-;-
Column;Work_constr;Sectors;-;-;-;-
Column;Automobile;Sectors;-;-;-;-
Column;Load_PipeTransp;Sectors;-;-;-;-
Column;PassTransp;Sectors;-;-;-;-
Column;AgriFood_Indus;Sectors;-;-;-;-
Column;PropertyBus;Sectors;-;-;-;-
Column;Comp;Sectors;-;-;-;-
Column;C;FC;-;-;-;-
Column;G;FC;-;-;-;-
Column;I;FC;-;-;-;-
Column;X;FC;-;-;-;-
