;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;AgriFood_Indus;PropertyBus;Comp;C;X
Crude_oil;0;0;0;13.8344;0;0;0;0;0;0;0;0;0;0;0;0;0.1702
Natural_gas;0.0013;0;0.0006;0.6168;7.1399;3.1629;15.0667;0.0862;0.6747;0.4306;0.1056;0.0593;6.8534;0.5064;19.2672;28.4974;6.0059
Coal;0;0;14.4972;0;14.1196;0.7717;16.6337;0;0.0139;0.0107;0;0;2.2212;0.0011;0.5177;0.1171;0.7481
AllFuels;0;0;0;0;5.4543;1.0788;5.5441;0.2218;1.9994;0.1446;44.1636;2.9322;10.3911;0.166;10.8587;90.4248;75.4646
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgriFood_Indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PropertyBus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MtCO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
