Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;1.0205084;Nan;1.0205084;1.0205084;0.7896888;1.0205084;1.0205084;1.0205084;1.0234197
Exports in volume;0;0;0;0;0;Nan;-1.110e-14;Nan;Nan;0;0;Nan;-2.220e-14;Nan;0.0040004
Imports in volume;-8.6677131;-4.9365661;-8.5719417;-3.8809896;-4.5075222;-51.974723;0.1598347;-41.25503;-41.879014;0.5166966;0.2964464;1.0205084;0.6895311;-44.620071;0.3006195
Trade balance ;-8.673348;-5.3456282;-8.7784791;-10.030867;3.4634744;-4.7275174;19.149476;0.0689546;0.1307373;4.1751243;0.4038535;1.0205084;-11.117506;1.8470967;5.5805321
Energy Cost share variation;-4.7051186;-4.9854884;156.70392;3.0415846;99.902498;21.75754;30.258124;19.937853;14.363887;11.338555;21.904396;11.529171;23.148037;7.1324009;6.6740614
 Energy/Labour cost variation;-4.7121355;-4.9924847;156.68502;3.0339972;99.887778;21.748575;30.248532;19.929021;14.355466;11.330357;21.89542;11.520959;23.138969;7.1245124;6.6662065
Labour;-8.6677131;-4.9365661;-8.5719417;-3.8809896;-4.5075222;-4.8185627;0.1598347;-0.0013189;0.0584874;0.5166966;0.2964464;1.0205084;0.6895311;0.7781964;0.3006195
Unitary Labour Cost variation;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639
Net nominal wages;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639;0.0073639
Net real wages (Consumer Price Index);-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748;-1.0553748
Purchasing power of wages_Households;1.0000736;0.7338551;0.3604123;0.8063544;1.0000736;1.0000736;1.0000736;1.0000736;1.0000736;1.0000736;0.9977886;1.0000736;1.0000736;1.0000736;1.0001025
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
