Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);0.3770581
Households consumption in GDP;0.3400342
Public consumption in GDP;0.0000004
Investment in GDP;2.270e-09
Exports in GDP;0.0005491
Imports in GDP;-0.0364744
Imports/Domestic production ratio;0
Imports of Non Energy goods in volume;0.3076959
Exports of Non Energy goods in volume;0.0027990
Total Employment;0.2776077
Unemployment rate (% points);-0.0025066
Net-of-tax wages;0.0073639
Labour Intensity (Laspeyres);0
Labour tax rate (% points);-3.185e-17
Energy Input Price (Laspeyres);23.908866
Energy Intensity (Laspeyres);-1.7569551
Energy cost share for non-energetic sector;16.546469
Production Price (Laspeyres);0
Production Price Energy goods (Laspeyres);0
Production Price Non Energy goods (Laspeyres);0
Consumption Price for HH of Non Energy goods (Laspeyres);-0.0013596
Real Households consumption (Laspeyres);0.6244791
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;0.9544001
Public Deficits;-5.2018321
Country Deficits /GDP;-2.8658605
Total Emissions;-5.8220757
Total Taxes;13.66701
Households Energy Bills;10.918971
Firms Energy Bills;16.583982
Households Energy Conso;-4.995991
Firms Energy Conso;-6.6548507
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
