Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2350.7;1.0056845;2337.4;1.0037706
Households consumption;1289.2;1289.2;1.0104318;1275.9;1.0062448
Households consumption - Non-energy goods;1196.3;1196.3;0.9999864;1196.3;1.0102188
Households consumption - Energy goods;92.9;92.9;1.1675188;79.5;0.9500401
Government consumption;604.4;604.4;0.9999860;604.4;1
Government consumption - Non-energy goods;604.4;604.4;0.9999860;604.4;1
Government consumption - Energy goods;0;0;1.546e-10;0;Nan
Investment;510.6;510.6;0.9999863;510.6;1
Investment - Non-energy goods;510.6;510.6;0.9999863;510.6;1
Investment - Energy goods;0;0;-7.728e-10;0;Nan
Exports;553.9;553.9;0.999987;553.9;1.0000231
Exports - Non-energy goods;539.2;539.2;0.9999866;539.2;1.0000237
Exports - Energy goods;14.7;14.7;1;14.7;1
Imports;607.4;607.4;1;607.4;0.9986036
Imports - Non-energy goods;565.5;565.5;1;565.5;1.0032026
Imports - Energy goods;41.9;41.9;1;41.9;0.9404738
Net-of-tax wages;-;-;-;for nominal ratio:;1.0000736
Total Employment;-;-;-;Abs ratio:;1.0027761
