2025;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.099999682;0;0;0;0;3046.390307;0;0;0;139.4360526;11920.86253;943.5793078;149.3400504;52.45191998;99.09950734;347.1617272;0;0;0;0;0;0;0;16698.4214;2240.407128;14458.01427
CrudeOil;0;0.3;0;97165.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176516.3;273682.3;256080.1;17602.2
NaturalGas;0;20741.83532;4220.077389;3993.654387;607.2506671;4706.40517;0;0;0;4.601059421;2729.755536;523.650895;2166.01564;909.6072099;903.3770183;3794.807194;0;1576.519571;104.8512167;659.6221077;0;0;0;47642.03038;41629.22642;6012.784762
FossilFuels;0;1757.99942;290.6028851;2915.500932;0;0;226.4137483;614.6477005;3594.640909;3333.421856;1039.76979;1556.293321;2660.283219;668.1760942;567.3503124;1999.771183;25973.23709;12087.16981;542.8468732;21500.09393;0;0;13719.60756;95047.82664;91624.03041;3423.796229
BioFuels;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;219.4294082;595.6872417;3483.754557;494.5755491;#DIV/0!;11.64826928;146.1124269;2382.016516;12948.66024;3226.798373;4056.2611;2985.531836;176.0990563;20297.12272;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Electricity;0;1318.540501;217.9589307;388.4998562;610.3997741;10926.70928;177.035546;480.6001935;2810.69158;625.809556;2422.783964;2309.328779;1858.458799;2429.25341;2089.976121;5874.998703;3.082418472;258.3865723;12395.68406;15171.32356;0;0;0;62369.5216;60604.05185;1765.450653
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
