;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Oil;2.40060121414286;2.34149610428571;1.67111982171429;1.53995638671429;1.468641357;1.31302484185714;1.22397942428571;1.13644377985714;1.066032207;0.893383553571429
Natural_gas;3.174705943;3.354812183;2.668484236;2.507334159;2.438660623;2.179552717;2.034113117;1.839206295;1.715504374;1.340138825
Coal_lignite;0;0;0;0;0;0;0;0;0;0
Elec_heating;3.174705943;3.354812183;2.668484236;2.507334159;2.438660623;2.179552717;2.034113117;1.839206295;1.715504374;1.340138825
Steel_Iron;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
NonFerrousMetals;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Cement;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
OthMin;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
ChemicalPharma;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Paper;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Auto_transport;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
OthEquip;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Electronics;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Food_industry;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
OthManuf;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
LandTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
NavalTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
AirTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
AgriForest_Fish;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Construction;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Compo;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
