sigma_ConsoBudget;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Natural_gas;3.17470594267174;3.35481218313962;2.66848423621536;2.50733415909478;2.43866062271591;2.17955271676528;2.03411311685874;1.83920629510949;1.71550437410428;1.34013882507637
Crude_coal;0;0;0;0;0;0;0;0;0;0
Coke;0;0;0;0;0;0;0;0;0;0
Gasoline;2.42669689017556;2.1086787270751;1.23079534798142;1.08589741011292;0.988169210375261;0.884171914090028;0.821838873438832;0.812495858217966;0.771904109360979;0.744422800406876
LPG;2.42669689017556;2.1086787270751;1.23079534798142;1.08589741011292;0.988169210375261;0.884171914090028;0.821838873438832;0.812495858217966;0.771904109360979;0.744422800406876
Jetfuel;3.17470594267174;3.35481218313962;2.66848423621536;2.50733415909478;2.43866062271591;2.17955271676528;2.03411311685874;1.83920629510949;1.71550437410428;1.34013882507637
Road_diesel;2.42669689017556;2.1086787270751;1.23079534798142;1.08589741011292;0.988169210375261;0.884171914090028;0.821838873438832;0.812495858217966;0.771904109360979;0.744422800406876
Heating_oil;3.17470594267174;3.35481218313962;2.66848423621536;2.50733415909478;2.43866062271591;2.17955271676528;2.03411311685874;1.83920629510949;1.71550437410428;1.34013882507637
Other_fuels;3.17470594267174;3.35481218313962;2.66848423621536;2.50733415909478;2.43866062271591;2.17955271676528;2.03411311685874;1.83920629510949;1.71550437410428;1.34013882507637
Electricity;3.17470594267174;3.35481218313962;2.66848423621536;2.50733415909478;2.43866062271591;2.17955271676528;2.03411311685874;1.83920629510949;1.71550437410428;1.34013882507637
HeatGeoSol_Th;3.17470594267174;3.35481218313962;2.66848423621536;2.50733415909478;2.43866062271591;2.17955271676528;2.03411311685874;1.83920629510949;1.71550437410428;1.34013882507637
Steel_Iron;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NonFerrousMetals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cement;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthMin;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Construction;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
ChemicalPharma;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Paper;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Mining;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Automobile;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthTranspEquip;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
LandTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NavalTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
AirTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agri_Forestry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Fishing;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Food_industry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Property_business;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Comp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
