current_year;2030;2040;2050
Crude_oil;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0
Steel_Iron;1065.2241306606666;1721.8779076392689;1963.1853852369898
NonFerrousMetals;1223.2669511995898;1793.4872495401646;2452.149180253766
Cement;912.1236707345801;2055.000034837369;2000.0
OthMin;978.8459788148883;2103.5208514776095;1796.4039009499324
ChemicalPharma;3827.5504776814755;1631.5952603790179;1689.1181131957132
Paper;1231.778989212339;985.9313587670147;1605.4430208909946
Auto_indus;0.0;0.0;0.0
OthEquip;0.0;0.0;0.0
Electronics;0.0;0.0;0.0
Food_industry;0.0;0.0;0.0
OthManuf;0.0;0.0;0.0
LandTransp;0.0;0.0;0.0
NavalTransp;0.0;0.0;0.0
AirTransp;0.0;0.0;0.0
AgriForest_Fish;0.0;0.0;0.0
Construction;0.0;0.0;0.0
Property_business;0.0;0.0;0.0
Compo;0.0;0.0;0.0
