// name;value;lowerBound;UpperBound;explanation;name in model description
//;;;;;
// MODEL PARAMETERS;;;;;
//;;;;;
// Carbon tax;;;;;
Carbon_Tax_rate;0;0;1;;
delta_LS_H;0;0;1;variable to ajust other social transfer if the closure of public finance in recycling carbon tax scheme require it;
delta_LS_S;0;0;1;scalaire on carbon tax revenue for lump sum transfert to HH;
//;0;0;1;scalaire on carbon tax revenue for lump sum transfert to Sect;
//Labor market parameters;;;;;
NetWage_variation;;;;;
sigma_omegaU;1;0;5;;
Coef_real_wage;-0.3;;;-0.1;
u_param;0;0;1;1;
//;0.0955262;0;1;value ofBY;
//Capital;;;;;
delta_interest_rate;;;;;
depreciation_rate;1;0;1;;
//;0.04;0;1;for capital market;
//Other params;;;;;
Mu;;;;;
time_since_BY;0;0;1;labour productivity growth rate;
time_since_ini;15;0;100;has to be equal to time_period in a Static mode;
Government_closure;15;0;100;has to be equal to time_step in a Static mode;
delta_TranspMargins_rate;1;0;1;;
delta_TradeMargins_rate;1;0;1;;
;1;0;1;;
