ConstrainedShare_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Biomass;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Crude_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Natural_gas;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
FuelProd;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Electricity;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Buildings_constr;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Load_Transport;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Pass_Transport;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Livestock;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agriculture;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Paper;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cement;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Steel;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NonFerrousMetals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
ChemicalPharma;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Mining;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthIndus;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Composite;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
