ConstrainedShare_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
CrudeOil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
NaturalGas;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
OthFossFuel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
OthBiofuel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Diesel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Biodiesel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Gasoline;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Ethanol;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Electricity;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
PlantedForest;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
SugarCane;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Soy;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
RestAgri;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cattle;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
RestLivestoock;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cement;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
IronSteel;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
MiningPellet;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NonFerrousMetals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Chemical;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
BovineMeat;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
RestFoodBeve;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Textiles;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
PaperPulp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Ceramics;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Construction;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthIndustry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
FreightRoad;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
FreightRail;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
FreightAir;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
FreightWater;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
PassRoad;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
PassRail;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
PassAir;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
PassWater;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
WaterSewage;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Education;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Health;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Composite;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
