CarbonTax_Diff_C;H1;H2;H3;H4;H5;H6
Biomass;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Coal;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Crude_oil;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Natural_gas;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
FuelProd;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Electricity;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Buildings_constr;%nan;%nan;%nan;%nan;%nan;%nan
Load_Transport;%nan;%nan;%nan;%nan;%nan;%nan
Pass_Transport;%nan;%nan;%nan;%nan;%nan;%nan
Livestock;%nan;%nan;%nan;%nan;%nan;%nan
Agriculture;%nan;%nan;%nan;%nan;%nan;%nan
Paper;%nan;%nan;%nan;%nan;%nan;%nan
Cement;%nan;%nan;%nan;%nan;%nan;%nan
Steel;%nan;%nan;%nan;%nan;%nan;%nan
NonFerrousMetals;%nan;%nan;%nan;%nan;%nan;%nan
ChemicalPharma;%nan;%nan;%nan;%nan;%nan;%nan
Mining;%nan;%nan;%nan;%nan;%nan;%nan
OthIndus;%nan;%nan;%nan;%nan;%nan;%nan
Composite;%nan;%nan;%nan;%nan;%nan;%nan
