Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);-0.5980982
Households consumption in GDP;-0.2191809
Public consumption in GDP;0.0006366
Investment in GDP;0.0000077
Exports in GDP;-0.3183135
Imports in GDP;0.0612480
Imports/Domestic production ratio;0.0786904
Imports of Non Energy goods in volume;0.7677314
Exports of Non Energy goods in volume;-1.257661
Total Employment;-0.6006349
Unemployment rate (% points);0.0054234
Net-of-tax wages;0.0823720
Labour Intensity (Laspeyres);0
Labour tax rate (% points);0
Energy Input Price (Laspeyres);29.706756
Energy Intensity (Laspeyres);-3.3375811
Energy cost share for non-energetic sector;19.801673
Production Price (Laspeyres);1.0884362
Production Price Energy goods (Laspeyres);7.8621073
Production Price Non Energy goods (Laspeyres);0.9411780
Real Households consumption (Laspeyres);-0.4025298
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;-0.0726088
Public Deficits; 3.1081619
Total Emissions;-7.0442165
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
