;2030;2040;2050
Crude_oil;-0.0121361961615705;-0.0655027006859406;-0.184065493242775
Liquid_fuels;0;0;0
Gas_fuels;-0.0035437982002013424;-0.013113537596459945;-0.0149573290348054
Solid_fuels;0.0;0.0;0.0
Elec_heating;0.0008960644156723596;-0.004256699736996494;-0.001325990403598043
Steel_Iron;0.0004012729576419183;0.0017681720766220543;0.002375359786664699
NonFerrousMetals;4.676917841739403e-05;0.0016348612322889533;0.0024130952474785694
Cement;0.006857874713213752;0.004811418570190407;0.005690916098828769
OthMinerals;0.0033388788285582116;0.003015313177255896;0.002837182575912589
ChemicalPharma;-0.001231949568042734;-0.0001645839463724208;-0.00017935089718079666
Paper;0.003233706251920543;0.002534445538689978;0.0023581867800390732
Auto_industry;0.0019598869662329488;0.005839704292011083;0.0058054479106601775
OthEquip;0.00127239308389826;0.0014522732231241342;0.0014541614068159792
Electronics;0.00127239308389826;0.0014522732231241342;0.0014541614068159792
Food_industry;0.002847287111943375;0.002042073077099582;0.0016923247266498187
OthManuf;0.001387299821103305;0.0015673574686463354;0.00157525633895772
LandTransp;0.005350810807478901;0.005234948030435227;0.0049264920074094665
NavalTransp;0.011704420169044827;0.008769428579709304;0.007083680358606292
AirTransp;0.006232811899512303;0.0015417697893216342;0.00023256494924139837
AgriForest_Fish;0.003616049785777342;0.0023176864503691164;0.001988800798452983
Construction;0.0;0.0;0.0
Property_business;-0.0013377783418914158;-0.0003773502860319189;7.305483784869615e-05
Compo;-0.0008289287858661565;-0.00018997321342006934;0.00015912050548050338
