IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-9.2;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;0
Natur;-13.8;0;-15.8;-9.2;-10.3;-11;-9.4; 0.3;-0.6;-5.7;-6.1;-8;-7.5;-13;-5.3;Natur;-5;0;0;0
Coal ;0;0;-15.8;0;-10.3;-11;-9.4;0;-0.6;-5.7;0;0;-7.5;-13;-5.3;Coal ;-5;0;0;0
AllFu;0;0;0;0;-10.3;-11;-9.4; 0.3;-0.6;-5.7;-6.1;-8;-7.5;-13;-5.3;AllFu;-5;0;0;0
Elect;-13.8;-10.9;-15.8;-9.2;0;-11;-9.4; 0.3;-0.6;-5.7;-6.1;-8;-7.5;-13;-5.3;Elect;-5;0;0;0
HeatG;0;0;0;0;0;0;-9.4;0;-0.6;0;0;0;-7.5;-13;-5.3;HeatG;-5;0;0;0
Heavy;0;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7; 5.5; 4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;Heavy;-2.6;-0.9; 4.6;-3.2
Build;0;0;0;0;0;0;0; 5.5;0;0;0;0;0;-8.4;0;Build;0;0; 5.5;0
Work_;-9.2;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7; 5.5; 4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;Work_;-0.9;0; 6.4;0
Autom;0;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7; 5.5; 4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;Autom;-0.9;0; 6.4;-1.2
Load_;0;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7; 5.5; 4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;Load_;-8.8;-7.2;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;-3.1;0;0;0
Agri_;0;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7; 5.5; 4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;Agri_;-2.1;-0.4; 5.2;-1.9
Prope;0;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7; 5.5; 4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;Prope;-10.9;-9.4;-4.4;0
OthSe;-9.2;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7; 5.5; 4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;OthSe;-1.3; 0.4; 6;-1.2
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-9.2;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7;5.5;4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;;;;;
M;-9.2;-6.2;-11.3;-4.5;-5.6;-52.7;1.9;-38;-39.2;0.4;-1.2;-3.1;1.3;-49.7;1.2;;;;;
Labour;-9.2;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7;5.5;4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;;;;;
Capital_consumption;-9.2;-6.2;-11.3;-4.5;-5.6;-6.3;-4.7;5.5;4.6;-0.7;-1.2;-3.1;-2.6;-8.4;-0.3;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
