Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;Labour tax reduction
Real GDP (Laspeyres);-1.1798342
Households consumption in GDP;-1.9027637
Public consumption in GDP;0.0041318
Investment in GDP;1.2906322
Exports in GDP;-0.3936559
Imports in GDP;0.1781786
Imports/Domestic production ratio;0.0881300
Imports of Non Energy goods in volume;1.2679449
Exports of Non Energy goods in volume;-1.6137863
Total Employment;-0.0829515
Unemployment rate (% points);0.0007490
Net-of-tax wages;0.2190605
Labour Intensity (Laspeyres);0
Labour tax rate (% points);-0.0332526
Energy Input Price (Laspeyres);30.439483
Energy Intensity (Laspeyres);-3.3777529
Energy cost share for non-energetic sector;19.685446
Production Price (Laspeyres);2.2195092
Production Price Energy goods (Laspeyres);9.1368337
Production Price Non Energy goods (Laspeyres);2.069128
Real Households consumption (Laspeyres);-3.4944611
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;-3.1645401
Public Deficits;-6.2657681
Total Emissions;-7.0796371
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
