Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;3.1788523;3.0200444;181.45265;2.8191196;9.351502;21.056199;3.8804831;1.2573743;0.4149918;0.6872955;5.5483298;2.6282971;1.9696038;11.71479;0.9146187
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-2.6128996;Nan;-0.8981654;-0.8577444;-8.7826667;-3.1452821;-2.0546845;-10.920575;-1.3185822
Exports in volume;0;0;0;0;0;Nan;-3.1880916;Nan;Nan;-1.2456534;0;Nan;-1.9221604;Nan;-1.1555849
Imports in volume;-9.2440912;-6.2294165;-11.336594;-4.4879802;-5.629186;-52.745295;1.8711926;-38.011584;-39.214542;0.4367592;-1.2043245;-3.1452821;1.2510674;-49.679924;1.2035703
Trade balance ;-9.2501304;-6.8588668;-13.600543;-14.463957;20.298148;-6.256177;351.19841;5.593993;4.7210856;9.7783651;-12.289885;-3.1452821;-26.324629;-7.4592867;27.890044
Energy Cost share variation;0.4264164;0.3405225;18.396452;0.7933811;98.094629;6.2753626;38.923558;21.080309;18.326078;16.172188;16.878979;12.719786;26.007945;2.1999484;12.50699
 Energy/Labour cost variation;5.8174475;5.5642129;240.30055;5.8338312;121.21577;31.382721;47.376582;25.204173;21.338229;19.452562;25.981391;18.13699;31.216148;16.595013;15.94505
Labour;-9.2440912;-6.2294165;-11.336594;-4.4879802;-5.629186;-6.3457615;-4.6586222;5.5198395;4.6455235;-0.7010365;-1.2043245;-3.1452821;-2.6037994;-8.4304924;-0.3467202
Unitary Labour Cost variation;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516;-2.0777516
Net nominal wages;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605;0.2190605
Net real wages (Consumer Price Index);-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885;-3.8639885
Purchasing power of wages_Households;1.0017353;0.7281708;0.2786131;0.8014803;0.9203874;0.8292681;0.9807983;0.9897981;0.9980676;0.9984747;0.9186617;0.9754366;0.9864201;0.8971306;0.9938335
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;Labour tax reduction;;;;;;;;;;;;;;
