Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2371.2;1.0304571;2301.2;0.9882017
Households consumption;1274.6;1274.6;1.0415999;1223.6;0.9650554
Households consumption - Non-energy goods;1178.4;1178.4;1.0300121;1144.1;0.9661171
Households consumption - Energy goods;96.1;96.1;1.2082604;79.5;0.9500401
Government consumption;611.9;611.9;1.0122242;604.5;1.0001592
Government consumption - Non-energy goods;611.9;611.9;1.0122242;604.5;1.0001592
Government consumption - Energy goods;0;0;1.8222835;0;Nan
Investment;545.6;545.6;1.0090303;540.7;1.0588567
Investment - Non-energy goods;545.6;545.6;1.0090303;540.7;1.0588567
Investment - Energy goods;0;0;1.8119735;0;Nan
Exports;551.6;551.6;1.0126866;544.7;0.9834497
Exports - Non-energy goods;536.4;536.4;1.011963;530.1;0.9830000
Exports - Energy goods;15.2;15.2;1.0388636;14.7;1
Imports;612.4;612.4;1;612.4;1.0068214
Imports - Non-energy goods;570.8;570.8;1;570.8;1.0127265
Imports - Energy goods;41.6;41.6;1;41.6;0.9321825
Net-of-tax wages;-;-;-;for nominal ratio:;1.0021906
Total Employment;-;-;-;Abs ratio:;0.9991705
