Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.7;0;51.9;30.2;1.3;50.1;0;14.6;69.4;0.8;17.9;176.3;233.7;615.6
HPrice Index (Paasche);-0.0792004;1.3763125;3.5970686;1.2504245;1.0888792;1.2085242;1.0218111;0.0000005;1.004131;1.0037216;1.0909245;1.0274277;1.0159876;1.1171067;1.0084089
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.1;0;14.5;69.1;0.7;17.5;173.5;209.2;610.5
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;30.3;0;0;0;3.3;0;0.2;17;561
G Price Index (Paasche);1.0004545;1.0135001;1.8223246;1.0101238;1.0885812;1.208669;1.0218111;1.0125203;1.004131;1.0037172;1.0909245;1.0274277;1.0159876;1.1171067;1.0084089
Government consumption Real 1 (G€);0;0;0;0;0;0;29.7;0;0;0;3;0;0.2;15.2;556.3
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;64.2;182.5;27.9;0;0;1.9;9.9;258.8
I Price Index (Paasche);2.845e-09;-5.415e-10;1.8119734;8.078e-11;-0.0000005;-0.0000391;1.0218111;1.0125203;1.004131;1.003704;-1.205e-10;-1.377e-11;1.0159876;1.1171067;1.0084089
Investment Real 1 (G€);0;0;0;0;0;0;0.2;63.4;181.7;27.8;0;0;1.9;8.9;256.7
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.8;0.1;10.1;4.3;0;124.1;0;0;46.2;1.1;0;46.4;0;318.6
X Price Index (Paasche);1.0004548;1.013668;1.826243;1.0180754;1.0903247;0;1.021888;0;0;1.0036763;1.0816547;0;1.0159344;0;1.0085501
Exports Real 1 (G€);0;0.7;0;10;3.9;0;121.4;0;0;46;1.1;0;45.6;0;315.9
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.1;1.2;15.5;1.6;0;128.8;0;0;53.4;1.9;0.5;44.4;0;341.8
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.1;1.2;15.5;1.6;0;128.8;0;0;53.4;1.9;0.5;44.4;0;341.8
