Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;12.6;0;0;0;0;0;0;0;0;0;0;0;0;0.2
Natur;0;0;0;0.6;6.4;2.8;13.6;0.1;0.7;0.4;0.1;0.1;6.3;0.4;18.2;27.1;6
Coal ;0;0;12.2;0;12.7;0.7;15.1;0;0;0;0;0;2.1;0;0.5;0.1;0.7
AllFu;0;0;0;0;4.9;1;5;0.2;2;0.1;41.5;2.7;9.6;0.1;10.3;85.9;75.5
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;0;0;12.2;13.1;24;4.5;33.7;0.3;2.7;0.6;41.6;2.8;18;0.6;29;;
Tot_CO2Emis_IC;182.9;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;113.1;;;;;;;;;;;;;;;;
DOM_CO2;296;;;;;;;;;;;;;;;;
Units;1 MtCO2;;;;;;;;;;;;;;;;
