2024;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;1.202;0;0;0;0;0;0;0;0;3931.868624;0;0;0;0;0;0;72.16862995;8937.30837;455.2696836;1131.351765;179.1795854;9.248378404;42.88373376;0;131.9737493;40.98064133;7.465223956;19.26211714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14960.1625;2506.906165;12453.25634
CrudeOil;0;0;0;40395.69679;0;57257.4214;0;22473.89433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140018.7613;260145.7738;242775.9074;17369.8664
NaturalGas;0;21450.67203;5994.668847;1545.246409;0;2190.253712;77.30712;859.6882163;0;12052.09966;0;0;0;0;0;0;26.76704973;1153.582055;802.1214872;1038.89392;2522.798977;139.8811256;648.6137015;225.5474133;1019.043413;1447.450869;626.73979;1617.143079;0;0;0;0;1425.11615;0;0;0;3.179611074;18.21956755;18.31530698;244.339625;859.3301773;0;0;0;58007.0193;48818.43923;9188.580074
OthFossFuel;0;525.6442358;491.0987601;1396.553523;0;1876.281835;0;797.4816906;0;1983.657132;11.20081133;19.28624465;45.23237888;98.78700779;30.40695621;14.52321049;3612.748947;258.6415792;800.0537155;1906.105208;1302.2652;67.35635774;312.3241704;36.60758985;243.396073;272.0191768;171.0704624;441.4039425;0;0;515.5946091;1193.181227;0;0;3319.96337;0;18.82864806;107.8904989;108.4574374;464.411113;7422.246689;0;0;12892.55118;42757.27098;38287.49985;4469.771137
OthBiofuel;0;0;0;0;2387.566925;0;0;0;0;2510.14768;105.3172342;181.34168;425.3039265;928.859002;285.9057647;136.5565686;314.786086;3812.105637;0;12.89074339;58.92446756;365.2716654;1693.725339;63.7192057;10922.70062;2421.399924;242.5654749;625.8786903;0;0;0;0;0;0;0;0;0;0;0;176.6979914;5439.498421;0;0;0;33111.16305;33111.16305;0
Diesel;0;1317.848017;0.000230971;1377.21879;0;3.981681211;0.253037996;1.799895394;0;297.0942838;305.2406556;525.5821017;1232.657222;2692.109538;828.6399059;395.7815341;56.37777674;27.21217557;554.8779916;11.18241685;14.44256817;36.98276781;171.4851079;2.029878052;186.1314487;18.83999544;31.75854108;81.9448609;29434.79713;1114.459648;0;304.4239926;8518.856308;0;0;102.6403734;0.179697872;1.029691194;1.035101972;5.96129541;0;0;0;6202.269994;55857.12565;55220.55221;636.5734372
Biodiesel;0;0;0;0;0;0;0;0;0;0;22.12847885;38.10217351;89.36171763;195.1649883;60.07240615;28.6922569;4.089540589;1.982731601;27.040714;0;1.183444249;2.903639193;13.46386195;0.1576857;11.87466082;1.638882325;3.399885585;8.772542498;2021.128086;66.5243166;0;0;584.9437206;0;0;0;0.014403133;0.082531744;0.082965428;0.285645882;0;0;0;0;3183.09128;3183.09128;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2370.780547;0;0;0;0;0;0;0;17385.72401;0;0;2790.259947;22546.7645;22320.79857;225.9659337
Ethanol;0;0;0;0;0;0;0;0;0;0;0.637271106;1.097292516;2.573500013;5.620495143;1.730006339;0.826299286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2086.60171;0;0;0;0;0;0;0;16882.50474;0;0;1284.651266;20266.24258;20136.69477;129.5478124
Electricity;0;914.7716333;62.91009613;145.3449051;46.3198452;183.6040129;11.6681344;82.99710589;595.741068;8683.762188;136.4960852;235.0273399;551.213877;1203.844921;370.5473079;176.9837307;631.0614847;2472.697591;1567.556528;2953.729316;1838.859043;385.8035376;1788.929417;575.4339221;2150.125123;339.5683667;1109.627275;2863.111767;0;0;0;0;0;314.4005019;0;0;273.8491262;1569.189608;1577.43532;10349.03297;15855.53673;0;0;1.907616527;62019.0875;59621.68193;2397.405564
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SugarCane;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestLivestoock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MiningPellet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Textiles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ceramics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthIndustry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FreightRoad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FreightRail;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FreightAir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FreightWater;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassRoad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassRail;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassAir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassWater;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WaterSewage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
