Households_Gourps;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
GOS_byAgent;0.003701382;0.006265324;0.008368563;0.008115547;0.013299394;0.023665943;0.04770191;0.090223164;0.178796902;0.619861871
NetCompWages_byAgent;0.012861897;0.025372366;0.033451413;0.040978179;0.052272088;0.064326984;0.085818979;0.115224403;0.168228127;0.401465562
Property_income;0.001385944;0.002566035;0.006891348;0.009671174;0.018857001;0.026075379;0.045029077;0.069774975;0.157971492;0.661777576
Gov_social_transfers;0.019261128;0.03353995;0.045985875;0.055862057;0.064608998;0.071683639;0.080636742;0.104820088;0.155747037;0.367854485
Corp_social_transfers;1.51E-04;0.000166773;0.001534169;0.000861185;0.003711772;0.003946766;0.013289588;0.036856414;0.069816431;0.869665623
ClimPolicyCompens;0;0;0;0;0;0;0;0;0;0
Other_Transfers;0.029077047;0.043181815;0.049297057;0.057152983;0.066630094;0.071246221;0.103445567;0.109041829;0.160008386;0.310919001
Income_Tax;0.02105703;0.018775686;0.022467891;0.028850477;0.043026141;0.05356908;0.071280581;0.10358115;0.183719326;0.453672637
Gov_Direct_Tax;0.007905547;0.013849153;0.016285473;0.017533147;0.041810953;0.040684124;0.0538465;0.084549175;0.164067977;0.55946795
Corp_Direct_Tax;4.72E-04;0.001059841;0.001725868;0.000968136;0.008652651;0.013987959;0.020702707;0.034548749;0.143898636;0.773983297
FC_byAgent;0.030646913;0.040959318;0.048023581;0.051989054;0.063800899;0.076972297;0.092068245;0.116694336;0.163910245;0.314935112
GFCF_byAgent;0.009072703;0.015146871;0.017983258;0.019918885;0.028705274;0.036325915;0.048669757;0.094627509;0.167578358;0.561971471
NetFinancialDebt;0.003701382;0.006265324;0.008368563;0.008115547;0.013299394;0.023665943;0.04770191;0.090223164;0.178796902;0.619861871
