current_year;2030;2040;2050
Crude_oil;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0
Steel_Iron;1.08403361344538;1.10924369747899;1.13445378151261
NonFerrousMetals;0.0;0.0;0.0
Cement;1.16346153846154;1.19230769230769;1.19230769230769
OthMin;0.0;0.0;0.0
ChemicalPharma;0.0;0.0;0.0
Paper;0.0;0.0;0.0
Auto_indus;0.0;0.0;0.0
OthEquip;0.0;0.0;0.0
Electronics;0.0;0.0;0.0
Food_industry;0.0;0.0;0.0
OthManuf;0.0;0.0;0.0
LandTransp;0.0;0.0;0.0
NavalTransp;0.0;0.0;0.0
AirTransp;0.0;0.0;0.0
AgriForest_Fish;0.0;0.0;0.0
Construction;0.0;0.0;0.0
Property_business;0.0;0.0;0.0
Compo;0.0;0.0;0.0
