;Crude_oil;Natural_gas;Crude_coal;Coke;Gasoline;LPG;Jetfuel;Road_diesel;Heating_oil;Other_fuels;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Construction;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;LandTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;0;11373.2714193793;0;4470.34704367032;20691.0726073096;2666.67772434164;6733.18726263669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45934.5560573376;1126.186;54211.913
Natural_gas;32.924389363824;0;0.060470856009037;0.1552001424684;789.021114798945;42.9875995881;25.158994949144;362.692127015906;46.7439767025768;178.566815913902;565.820585440573;3313.483986514;203.096934118;181.64878810825;794.77403059176;571.527365195817;329.079591059126;2544.16916688346;771.77441967224;48.7008272601058;174.81155771;168.588450925;62.5162597646931;11.06511668404;12.1672767993;164.589500271591;0.285685367897;2678.07595461738;794.25600977771;6814.14532941609;9808.82642855;0;0;5319.473;36811.1869540579;940.435;43782.175
Crude_coal;0;0;170.358958180495;3689.51180038369;1.05083790626154;0.00068885024649;0.000403157655658;1.9658904708871;0.253365131267198;10.30130924262;1606.13074301269;449.398086992481;2006.6717928102;0.0481334126588;148.62527451951;109.342139047572;0.1276641328568;364.375904792647;17.6708041912877;5.6882142929309E-06;0.460169317757;1.00829059865;1.8850663521076E-09;0;0;2.00441276578646;0;249.954836003394;0.393801324146;57.0674896216341;37.27048439002;0;0;0;8923.99328594651;0;8768.516
Coke;0;0;6.7392408495785E-07;0;0.00411628312628;0;0;0.007771395323164;0.001001582044036;9.76110021635668;1.0884526652593E-05;1.10447907693E-07;1910.12326068696;0.3251670166661;17.1916618747;27.62296360839;100.62028138206;15.1659040440659;0.0005523865557;1.6333709383855E-08;13.7814679442;2.00169884212;1.062512307903E-11;0;0;0.016400692581224;0;33.8385476317702;0.154490650166;214.339608624299;0.869642698995;0;0;33.236;2379.06164924562;2234.229;406.378
Gasoline;7.6860492211152;4.83070055355419;0.258267651298991;3.287682178768;0;0;0;0;0;0;5.20186134151016;3.113586753188;15.94965846208;9.1328332340718;1.525590767117;7.015667399875;0.178571993287;674.128616486667;0.00852465781276;9.51078756089398;3.7301965988862;0.3443472789759;552.486783437027;386.1953442904;72.1501759921;18.4778977753667;0.1100356388297;1.15746355481563;0.16966057316;484.708734435705;6030.6;0;0;3333.449;11625.4080378365;12433.961;1435.527
LPG;0.17206285658489;0.119807486380844;0.000401061716675;0.0867538167879;0;0;0;0;0;0;0.563386854812845;0.0622239423748;5.77474199647;4.1716019449135;2.64424166616;32.45114806369;4.7354802334;391.463158868881;8.1813259186223;20.443073045929;14.9527887776;0.890771396914;29.124177156612;4.936320329639;4.14943150788;257.952935422037;0.0257729449213;105.590085270021;1.21942063107;484.246933251395;952.795479462;0;0;1160.218;3486.97152390681;1712.861;3458.68
Jetfuel;0;0.02729331241397;0.001493099779289;0;0;0;0;0;0;0;0.017345768333013;0.000214438173664;0;0;0;0;0.4930925459498;0.065686570320288;1.04471550237218;3.61878413612753E-05;0;0;9.25863521996469E-09;0.552491166244;8433.65214697015;9.95118255596221;0.128576816007;0.749746337102663;1.68739133272357;294.019001139167;85.007528419488;0;0;1996.731;10824.1289421713;4299.365;5916.941
Road_diesel;118.570494020381;93.7909370577235;4.55841339180168;36.67269795221;0;0;0;0;0;0;167.917329979297;216.4498801526;900.474076897;569.91871836216;53.80926922478;119.489204781294;585.199338358873;210.869127948085;8.3228721474568;280.713832349906;130.668526530757;80.5626076425;9336.57296740403;2074.24835529721;1263.25295867;2496.09791017746;115.947546988448;194.428924551564;24.6582434527;6577.3982036072;16402.8;0;0;2233.429;44296.8214369454;23295.7508030846;19997.5401969154
Heating_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2178.977;3673.982;0;0;0;5852.959;3002.37019691542;2850.58880308458
Other_fuels;0;1224.45604555234;4.212025530994E-06;130.88620678846;0;0;0;0;0;0;232.40356993668;654.9047519749;5.67807482393;3.804971901327;204.8304865409;408.62757828;0.00194161873313;828.775527332188;35.19864655622;2.84191792063008;0.474888935524;0.506400493235;3.890742829573E-11;1578.52923072434;6.32335209188;18.097888334063;0.360579249852;119.895647591411;0.0307481214176;22.9603717678209;179.69920147983;0;0;11527.404;17186.6920322277;18951.957;9166.386
