;L1;L2;L3;L4;L5
Crude_oil;1;1;1;1;1
Liquid_fuels;1;1;1;1;1
Gas_fuels;1;1;1;1;1
Solid_fuels;1;1;1;1;1
Elec_heating;1;1;1;1;1
Steel_Iron;1;1;1;1;1
NonFerrousMetals;1;1;1;1;1
Cement;1;1;1;1;1
OthMin;1;1;1;1;1
ChemicalPharma;1;1;1;1;1
Paper;1;1;1;1;1
Automobile;1;1;1;1;1
OthTranspEquip;1;1;1;1;1
OthEquip;1;1;1;1;1
Electronics;1;1;1;1;1
Food_industry;1;1;1;1;1
OthManuf;1;1;1;1;1
LandTransp;1;1;1;1;1
NavalTransp;1;1;1;1;1
AirTransp;1;1;1;1;1
AgriForest_Fish;1;1;1;1;1
Construction;1;1;1;1;1
Property_business;1;1;1;1;1
Compo;1;1;1;1;1
