CarbonTax_Diff_IC;Coal;CrudeOil;NaturalGas;FossilFuels;Biofuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp
Coal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CrudeOil;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
NaturalGas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FossilFuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Biofuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Electricity;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
PlantedForest;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cattle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RestAgri;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cement;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
IronSteel;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
NonFerrousMetals;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chemical;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FoodBeve;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
PaperPulp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RestIndus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FreightTransp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
PassTransp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Comp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
