ConstrainedShared_IC;Coal;CrudeOil;NaturalGas;FossilFuels;Biofuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp
Coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CrudeOil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NaturalGas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FossilFuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
