Aggregation_type;-;-;-;-;-;AGG_EnComp
Row;Coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;Coke;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;Crude_Non_transport;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;Transport_fuels;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;Biomass;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy
Row;Natural_gas;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;Renewable;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy
Row;Iron_Steel;Commodities;NonEnerSect;NonHybridCommod;;AllComp
Row;Chem_Petrochem;Commodities;NonEnerSect;NonHybridCommod;;AllComp
Row;Aluminium;Commodities;NonEnerSect;NonHybridCommod;;AllComp
Row;Cement;Commodities;NonEnerSect;NonHybridCommod;;AllComp
Row;Construction;Commodities;NonEnerSect;NonHybridCommod;;AllComp
Row;Textile;Commodities;NonEnerSect;NonHybridCommod;;AllComp
Row;Resid_industries;Commodities;NonEnerSect;NonHybridCommod;;AllComp
Row;Agriculture;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Air_transport;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Water_transport;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Road;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Rail;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Housing;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Other_services;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-
