Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;-0.8226540;-0.8580522;180.52917;1.700137;6.0233786;18.381038;1.9331533;-1.1751573;-1.2222803;-0.8619139;4.2087203;1.1086968;0.1830256;-1.2502194;-1.2853818
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-2.0159575;Nan;0.2840968;-0.4659694;-8.0875794;-2.0691163;-1.0839795;0.3176815;0.2159932
Exports in volume;0;0;0;0;0;Nan;-1.6324614;Nan;Nan;1.6102337;0;Nan;-0.1826688;Nan;1.6181231
Imports in volume;-8.9411492;-5.4640353;-10.005855;-4.1689485;-4.9207962;-52.28917;0.7400929;-41.234023;-41.867305;-0.4766271;-0.3990999;-2.0691163;-0.3643117;-44.86544;-1.5741241
Trade balance ;-8.9469543;-5.8846267;-12.227609;-12.502485;14.069244;-5.3513161;153.3632;0.1047380;0.1509091;-11.895877;-9.1383475;-2.0691163;5.2932957;1.3947503;-36.905029
Energy Cost share variation;1.4860429;1.2658112;18.62294;1.6528584;103.42272;6.7702874;39.630855;22.868967;18.70303;15.747474;17.826512;12.910162;26.630739;13.13897;12.548999
 Energy/Labour cost variation;2.9729511;2.7128195;240.44822;5.7658565;120.65077;29.31143;45.613357;24.226056;19.956879;17.396841;25.617875;16.795443;29.788927;14.301708;13.665186
Labour;-8.9411492;-5.4640353;-10.005855;-4.1689485;-4.9207962;-5.4417653;-2.5609575;0.0344394;0.0786446;0.9667696;-0.3990999;-2.0691163;-0.7262332;0.3306224;0.6087219
Unitary Labour Cost variation;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544;-2.2547544
Net nominal wages;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338;0.0427338
Net real wages (Consumer Price Index);-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030;-0.4486030
Purchasing power of wages_Households;1.000545;0.7361937;0.2784469;0.8026649;0.9462563;0.8463627;0.9895218;1.0122726;1.0127496;1.0051748;0.9282056;0.9889849;0.9989336;1.0130887;1.0120618
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;Labour tax reduction;;;;;;;;;;;;;;
