Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;1.6176498;Nan;1.6176498;1.6176498;1.2818465;1.6176498;1.6176498;1.6176498;1.5954781
Exports in volume;0;0;0;0;0;Nan;-1.110e-14;Nan;Nan;-4.441e-14;0;Nan;0;Nan;-0.0302860
Imports in volume;-8.3281748;-4.4000987;-7.9092266;-3.5234179;-3.9468132;-51.638208;1.0232315;-37.796604;-39.053028;1.5427097;1.3044773;1.6176498;1.3386346;-44.149359;1.462688
Trade balance ;-8.333589;-4.764707;-8.0997962;-9.1066815;3.0326388;-4.0599394;122.59132;5.9602002;4.999341;12.465738;2.4955524;1.6176498;-21.583185;2.7127654;27.387117
Energy Cost share variation;-4.7051186;-4.9854884;156.70392;3.0415846;99.902498;21.75754;30.258124;19.937853;14.363887;11.338555;21.904396;11.529171;23.148037;7.1324009;6.6740614
 Energy/Labour cost variation;-4.8502539;-5.1301968;156.31295;2.8846509;99.598044;21.572102;30.059739;19.755186;14.189709;11.168985;21.718734;11.359311;22.960481;6.9692369;6.5115953
Labour;-8.3281748;-4.4000987;-7.9092266;-3.5234179;-3.9468132;-4.1516227;1.0232315;5.8857895;4.9235782;1.5427097;1.3044773;1.6176498;1.3386346;1.6347799;1.462688
Unitary Labour Cost variation;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336
Net nominal wages;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336;0.1525336
Net real wages (Consumer Price Index);-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880;-0.9208880
Purchasing power of wages_Households;1.0015253;0.7349203;0.3609355;0.8075249;1.0015253;1.0015253;1.0015253;1.0015253;1.0015253;1.0015253;0.9982157;1.0015253;1.0015253;1.0015253;1.0013068
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
