Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);1.6977946
Households consumption in GDP;0.6370128
Public consumption in GDP;0.0000007
Investment in GDP;1.2883126
Exports in GDP;-0.0041569
Imports in GDP;0.2233747
Imports/Domestic production ratio;0
Imports of Non Energy goods in volume;1.3456498
Exports of Non Energy goods in volume;-0.0211908
Total Employment;1.841876
Unemployment rate (% points);-0.0166311
Net-of-tax wages;0.1525336
Labour Intensity (Laspeyres);0
Labour tax rate (% points);0
Energy Input Price (Laspeyres);23.908866
Energy Intensity (Laspeyres);-0.9949719
Energy cost share for non-energetic sector;16.21641
Production Price (Laspeyres);0
Production Price Energy goods (Laspeyres);0
Production Price Non Energy goods (Laspeyres);0
Real Households consumption (Laspeyres);1.1698859
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;1.4998069
Public Deficits;-24.843863
Total Emissions;-5.2972386
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
