Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;-8.3;0;0;0;0;0;0;0;0;0;0;0;0;0
Natur;-12.9;0;-12.5;-8.3;-8.7;-8.9;-4; 0.6;-0.3;-3.5;-3.7;-3.4;-3.7;-3.4;-3.6;-5;0
Coal ;0;0;-12.5;0;-8.7;-8.9;-4;0;-0.3;-3.5;0;0;-3.7;-3.4;-3.6;-5;0
AllFu;0;0;0;0;-8.7;-8.9;-4; 0.6;-0.3;-3.5;-3.7;-3.4;-3.7;-3.4;-3.6;-5;0
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;-12.9;0;-12.5;-8.3;-8.7;-8.9;-4; 0.6;-0.3;-3.5;-3.7;-3.4;-3.7;-3.4;-3.6;;
Tot_CO2Emis_IC;-5.5;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;-5;;;;;;;;;;;;;;;;
DOM_CO2;-5.3;;;;;;;;;;;;;;;;
Units;0.01 MtCO2;;;;;;;;;;;;;;;;
