2025;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.200000472;0;0;0;0;3046.3027;0;0;0;147.2575921;12506.70813;990.6203916;150.6507139;55.7273407;102.5713984;359.3799828;0;0;0;0;0;0;0;17359.41825;2252.071932;15107.34632
CrudeOil;0;0.5;0;101588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172093.9;273682.4;256080.2;17602.2
NaturalGas;0;21220.07433;4524.917517;4180.458295;634.9482221;4706.386822;0;0;0;4.859185725;2847.542272;549.765672;2126.525479;966.4693082;935.2025718;3932.205433;0;1876.487294;104.8508079;692.949966;0;0;0;49303.64317;43277.64262;6025.990797
FossilFuels;0;1749.124849;299.6693788;3047.861767;0;0;226.412856;614.6452782;3594.626742;3517.11872;1086.381115;1633.907574;2901.452293;709.9453095;587.3400666;2071.902521;26702.55625;12742.61294;542.8450529;24312.17072;0;0;13135.85247;99476.42591;96143.19483;3333.231083
BioFuels;0;0;0;105.5;1759.757862;1373.349856;219.4291669;595.6865866;3483.750726;522.0856003;3093.482123;12.22887553;150.4603592;2530.93017;13166.0799;3331.227873;4146.7139;2902.16781;176.0963935;19953.46526;0;0;0;57522.41246;57522.41246;0
Electricity;42.00006614;1311.764025;224.7383946;406.2006397;638.6010056;11066.72297;177.0358903;480.6011282;2810.697046;625.8107731;2405.838096;2424.510526;1978.103111;2581.127938;2163.617654;6109.156957;0.776765179;209.6715436;12395.70817;15171.35307;0;0;0;63224.03576;61458.54494;1765.44722
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291162.3683;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8684.022457;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448074.2837;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72944.49961;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57608.9579;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16113.38514;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279671.6716;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;905011.4525;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44866.60869;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1975285.258;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286370.8278;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170558.6736;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6081951.233;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
