;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Liquid_fuels;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Gas_fuels;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Solid_fuels;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Elec_heating;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Steel_Iron;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
NonFerrousMetals;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Cement;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
OthMin;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Paper;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Auto_indus;0.0;0.0;0.0;0.0;3110.3768903032;699.380858219997;414.22826835803;183.663072385337;301.38199824154;5249.30756241963;492.254264132146;0.0;0.0;0.0;0.0;0.0;2583.02826516066;0;0;0;0;0;0.0
OthEquip;0.0;0.0;0.0;0.0;6280.42438819317;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Electronics;0.0;0.0;0.0;0.0;453.451429678968;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Food_industry;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
OthManuf;0.0;0.0;0.0;0.0;533.92477;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
LandTransp;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
NavalTransp;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
AirTransp;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
AgriForest_Fish;0.0;0.0;0.0;0.0;0;4036.80637879951;2390.91375798103;1214.70285969138;1993.26718413717;32659.6641412436;3199.65271685895;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Construction;0.0;0.0;0.0;0.0;7565.07318138291;945.243962772395;559.847707115722;457.700037531714;751.063074982885;8983.22610566501;1000.13564776055;0.0;0.0;0.0;0.0;0.0;4714.85773657505;0;0;0;0;176914.438286529;0.0
Property_business;0.0;0.0;0.0;0.0;265.11976;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Compo;0.0;0.0;0.0;0.0;2435.60582044176;2915.47127357742;1726.77104743074;1589.80310276408;2608.78809059872;75151.1722388899;2062.77977350613;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
